,INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,Tuition
326,University of Northern Iowa,189000,4,1050,0.2631,0.5771,0.795328,12413,8382,0.858291457,16000,56117.97,15961
327,Northwestern College,188300,4,1141,0.2913,0.6473,0.721232,1243,6442,0.945409429,19364.5,58600.59,20464
328,Saint Ambrose University,188900,4,1050,0.2539,0.6761,0.729772,2116,7137,0.850515464,20500,63314.56,24479
329,Simpson College,188700,4,1104,0.2711,0.7367,0.894571,1912,6536,0.922942207,22000,60274.33,22120
330,Upper Iowa University,189300,4,930,0.4402,0.733,0.659978,4758,5838,0.787735849,16750,57565.93,17737
331,Waldorf University,189500,4,937,0.5323,0.8191,0.660939,600,5044,0.803680982,9468,57010.8,20832
332,Wartburg College,189600,4,1105,0.221,0.658,0.738239,1600,6719,0.943965517,23786,58222.9,22896
333,Baker University,190300,4,1048,0.3912,0.6634,0.816168,828,5881,0.827380952,20412.5,67758.92,21249
334,Benedictine College,1025600,4,1129,0.2096,0.5457,0.991471,1323,6581,0.917695473,19500,64485.18,24221
335,Bethany College,190400,4,959,0.4073,0.6987,0.992727,608,3917,0.88,11350.5,57710.76,19832
336,Emporia State University,192700,4,1030,0.3919,0.6284,0.869816,4198,6352,0.826719577,12666,56675.47,14409
337,Friends University,191800,4,1014,0.4093,0.698,0.584932,2668,6709,0.759206799,20250,60343.56,16474
338,University of Kansas,194800,4,1145,0.2289,0.4514,0.934675,19698,9819,0.83886689,14424,70891.42,18755
339,Newman University,193900,4,1095,0.1611,0.2441,0.562747,1557,6079,0.785714286,15250,62008.99,13906
340,Kansas Wesleyan University,192900,4,1020,0.4258,0.7871,0.616137,697,5734,0.663755459,14857.5,54592.99,20514
341,Manhattan Christian College,193100,4,1025,0.3987,0.7749,0.821782,406,5283,PrivacySuppressed,10500,58385.25,18609
342,McPherson College,193300,4,940,0.42,0.7577,0.727134,463,5720,0.777777778,15750,59250.54,20003
343,MidAmerica Nazarene University,703200,4,1015,0.383,0.6674,0.613586,1302,6292,0.790432802,15000,69737.68,18597
344,University of Saint Mary,194300,4,978,0.325,0.5016,0.490426,510,5717,0.785340314,17000,62613.14,14850
345,Southwestern College,194000,4,999,0.3741,0.4785,0.911602,1114,5296,0.759656652,18338,58156.66,22807
346,Sterling College,194500,4,990,0.4597,0.7653,0.414132,440,4627,0.803030303,13516.5,58015.54,17648
347,Tabor College,194600,4,1007,0.3385,0.7348,0.554054,572,4534,0.862068966,14750,57538.37,21434
348,Wichita State University,195000,4,1089,0.3607,0.5101,0.94733,11377,7644,0.774827403,13750,60078.99,14945
349,Alice Lloyd College,195100,5,1006,0.5495,0.5906,0.35107,557,4729,0.721311475,7550,31403.34,10968
350,Asbury University,195200,5,1101,0.3281,0.5978,0.568519,1338,6328,0.851190476,19000,61842.48,25897
351,Bellarmine University,195400,5,1120,0.2476,0.6279,0.839422,2347,7799,0.875984252,19000,65601.28,23494
352,Berea College,195500,5,1117,0.8328,0.2134,0.365138,1590,7633,0.76446281,4830,47532.74,4222
353,Brescia University,195800,5,1003,0.57,0.7726,0.479412,688,5246,0.764705882,16111,50402.08,10731
354,Campbellsville University,195900,5,986,0.4261,0.5244,0.755719,1500,5036,0.786516854,10500,47586.61,16674
355,Centre College,196100,5,1279,0.1449,0.4448,0.711708,1055,8068,0.896825397,25000,64052.84,23062
356,University of the Cumberlands,196200,5,1022,0.3992,0.4689,0.682847,1554,5054,0.78807947,8250,44968.88,16357
357,Eastern Kentucky University,196300,5,1028,0.4336,0.5797,0.706314,13285,7122,0.744689221,13750,47617.36,11647
358,Georgetown College,196400,5,1045,0.3687,0.7538,0.676923,1365,6285,0.88671875,19500,56937.11,19210
359,Kentucky State University,196800,5,931,0.6397,0.6933,0.379195,2129,6382,0.514950166,16000,51636.62,8770
360,Kentucky Wesleyan College,196900,5,1048,0.5049,0.67,0.642125,680,5179,0.833333333,12000,52095.32,17719
361,University of Kentucky,198900,5,1143,0.2479,0.4491,0.891055,16897,10099,0.801016419,15000,59287.73,16298
362,Kentucky Christian University,196500,5,977,0.4682,0.7668,0.362869,569,4919,0.837398374,13250,53919.37,19282
363,University of Louisville,199900,5,1159,0.2894,0.4091,0.716882,14464,9361,0.799451805,12500,59042.66,15782
364,Morehead State University,197600,5,1047,0.3767,0.4998,0.853928,6747,6810,0.629824561,14585,42103.85,11870
365,Murray State University,197700,5,1069,0.3303,0.4708,0.906032,7487,7106,0.798301486,14000,48948.11,9808
366,Northern Kentucky University,927500,5,1068,0.3339,0.5144,0.918886,10838,7565,0.774271845,15000,63568.77,8966
367,University of Pikeville,198000,5,965,0.4474,0.4816,1,917,5879,0.735099338,11100,35782.96,17342
368,Spalding University,196000,5,970,0.4474,0.6334,0.501021,1098,6942,0.619047619,18000,55916.29,19081
369,Thomas More College,200100,5,1016,0.2905,0.5943,0.883083,1272,6204,0.783050848,19000,64733.74,18750
370,Union College,198800,5,970,0.5333,0.7368,0.691847,638,4616,0.733333333,12000,38949.24,20660
371,Western Kentucky University,200200,5,1047,0.3539,0.4913,0.926984,13235,7129,0.753834643,15000,50387.75,10948
